Fund ID,Fund,Department ID,Department,Short Title,Link to Website,Department Description,Control Officer,Appropriations 2004,Appropriations 2005,Appropriations 2006,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Appropriations 2013,Appropriations 2014,Expenditures 2004,Expenditures 2005,Expenditures 2006,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,Expenditures 2013,Expenditures 2014
1,Open and Effective Government,,City Council,Council,,"The mission of the City Council is to enact legislation and perform other duties as provided in the Home Rule Charter including to protect the public health, safety and welfare of the citizens of New Orleans, get franchises and establish rates for public utilities and to adopt the annual levy of property tax, and the operating and capitol budgets.",,12459790,12394005,14775661,13513193,15184958,15464012,14642931,9859139,9920916,9820916,16624766,10492207,6400808,5966787,7627232,6240167,6804023,7004335,8123993,8116822,0,0
99,Overview,,Mayor's Office,Mayor,,"The Mayor's Office facilitates partnerships, links strong leaders and new ideas, and leverages critical resources to move New Orleans forward. ",,29860449,33184447,38857047,45518669,126469619,433928080,223344951,11439144,10504213,153741686,143411818,21855719,17225336,27315427,33700464,26276494,37752114,39811413,30808360,36279506,0,0
1,Open and Effective Government,,Mayor's Office,Mayor,,,,0,0,0,0,0,0,10030315,6749095,6512612,120994707,112721689,0,0,0,0,0,0,0,0,0,0,0
3,Economic Development,,Mayor's Office,Mayor,,,,0,0,0,0,0,0,0,915132,1995801,28903437,28108716,0,0,0,0,0,0,0,0,0,0,0
4,Sustainable Communities ,,Mayor's Office,Mayor,,,,0,0,0,0,0,0,131551815,800740,735295,3843542,2581413,0,0,0,0,0,0,0,0,0,0,0
99,Innovation,,Mayor's Office,Mayor,,,,0,0,0,0,0,0,0,0,1260506,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Public Safety ,,Mayor's Office,Mayor,,,,0,0,0,0,0,0,81597193,2516612,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Open and Effective Government,,Chief Administration Office,CAO,,"The mission of the Chief Administrative Office (CAO) is to uphold the City charter and City ordinances through the 
effective management and oversight of all mandated operations in the delivery of services to the citizens of New 
Orleans.",,47697978,52944429,49846858,62506932,58738430,56883936,45004779,55935456,51856826,47776341,45775739,52264890,42307726,45911533,54086413,82282615,61478697,45291802,47486871,56847768,0,0
1,Open and Effective Government,,Law Department,Law  ,,"The Department of Law: directs and supervises the legal affairs of the City by providing legal advice and services to 
the Mayor, City Council, Departments, Boards, Commissions and related City entities; represents the City, its officers 
and employees in civil litigation and oversees the legal services provided by outside counsel; and prepares and 
reviews ordinances, resolutions, executive orders, contracts, and other legal documents for the City.",,10032399,29321744,7189966,7747340,12373576,12979425,1002699,13057945,12071798,6909303,6461526,10574390,19494127,6529773,9352959,10122551,11027133,9070426,10554974,10426964,0,0
2,Public Safety ,,New Orleans Fire Department,Fire,,"The New Orleans Fire Department (NOFD) will respond to all emergency situations in the City of New Orleans to protect and save life and property. Further, the Department will strive to reduce the incidence of fire and the loss of life and injuries to civilians and fire personnel. ",,50832124,52468335,41790732,52836268,62988576,54527061,73562103,79909700,87555131,85447565,86922093,54439122,57733424,466527094,62463096,66573738,77323553,87476111,93649782,92046087,0,0
3,Economic Development ,,Safety & Permits Department,Safety and Permits,,"The mission of the Safety and Permits Department is to administer and enforce the Comprehensive Zoning Ordinance, the Building Code, the Electrical Code, the Mechanical Code, and flood plain regulations to ensure compliance with international standards for the construction, alteration, repair, use, occupancy, and demolition of buildings, structures and properties. ",,5314221,4543744,55550352,6864869,17731032,6789265,4845606,5280565,5027675,4714227,5263618,4298352,3997930,5345698,5036387,5101982,5596745,5449216,7447539,7447539,0,0
2,Public Safety ,,New Orleans Police Department,Police  ,,The mission of the New Orleans Police Department is to provide professional police services to the public in order to maintain order and protect life and property,,124287211,125328984,105984196,115035154,137487976,129586401,117852205,115943922,128528462,134548687,135319253,126217371,149489650,99795074,126173256,134970675,146223978,129769614,130411570,139007185,0,0
4,Sustainable Communities ,,Sanitation Department,Sanitation,,"The Department of Sanitation provides solid waste services to the citizens of New Orleans through the collection, disposal and recycling of discarded material.",,35271478,35064764,39694811,64437765,74679909,43085488,377587475,37795326,37406673,37209066,39230804,37402880,25072602,19036217,33128910,47727202,47934082,40251462,36830118,44296051,0,0
2,Public Safety ,,Department of Health,Health  ,,"The New Orleans Health Department’s mission is to protect, promote and improve the health of all community members so they can achieve their full potential, foster an optimum health-related quality of life for those that live, learn, work, and play in New Orleans and ensure conditions that enable health and healthy choices",,20791089,20144554,16489920,24049041,19920508,19703900,20781198,21836891,16475565,31437644,31415966,16294124,15149855,11920883,15996312,15912768,18702030,16599068,18466989,24737066,0,0
2,Public Safety ,,Human Services/Youth Study Center,Human Services,,,,0,0,1099378,1618989,2117991,2392642,3373088,3565360,3453899,2941547,2938532,2518282,2002615,869556,1321347,1803295,2030924,2127440,2795517,6242414,0,0
1,Open and Effective Government,,Department of Finance,Finance,,The mission of the Finance Department is to provide timely and relevant financial services for the City of New Orleans. ,,55210935,51091664,45769117,51804353,53919799,59005647,54983699,53366766,50465041,46098615,43962542,45239925,46189413,35129349,50532169,54962915,53520169,58976160,45211223,219891723,0,0
1,Open and Effective Government,,Property Management,Property Management,,"The mission of the Department of Property Management is to acquire and record properties for City use, maintain and perform custodial functions of building equipment and facilities, assign space to departments based on need and have custody of all immovable property (Building and Land) owned and/or operated by the City. ",,10891398,10576885,6205865,8597721,11128672,9160080,8052855,10156481,11770937,7141460,6830024,10641548,8786639,5693620,11943061,9412005,9403627,8293986,8735215,19464203,0,0
1,Open and Effective Government,,Civil Service,Civil Service,,"Civil Service works to provide the most efficient and effective human resource services and programs to enable City government to recruit, develop and retain a well-qualified and high performing workforce in accordance with merit-system principles. ",,231725,2315411,976408,1061574,1525960,1646264,1482984,1795470,1622784,1469643,1552076,2219640,1721772,1020584,1245031,1434045,1718570,1691709,1750767,1589878,0,0
4,Sustainable Communities ,,Department of Public Works,Public Works,,"Our Mission is to construct and maintain the highest quality of safe and sustainable transportation facilities for users of vehicular, bicycle, pedestrian and rail transportation, in order to improve the quality of life and create opportunities for economic development for all New Orleanians. ",,17707440,19111601,10094907,14811710,62927882,27085305,25344615,22948637,21079760,16542280,16924570,18185165,14126542,31602277,18998354,21147827,20482455,18303328,20494346,76624239,0,0
4,Sustainable Communities ,,Department of Parks and Parkways,Parks and Parkways,,"The mission of the Department of Parks and Parkways is to efficiently and effectively manage, develop, beautify, preserve and protect approximately 2,000 acres of public green space, including neutral grounds, parks, historic sites, playgrounds, two golf courses and approximately 500,000 public trees. ",,7396550,7378695,4101958,4266686,5369417,6392264,5969740,6867557,6518978,7037667,7971248,7523639,6251796,3827744,5029030,6702502,7431749,6314645,6790738,16371507,0,0
5,Children and Families ,,New Orleans Public Library,Library,,"The New Orleans Public Library inspires the individual and enriches the community through access to information, resources, technology and programming that is delivered by knowledgeable and creative staff. ",,7581308,8321436,9416589,14577862,123244179,7281892,10367711,8574559,12449955,12112000,12974861,7774471,6005815,2451054,4589549,6362509,7258720,7623511,8627899,22095410,0,0
