"Function","Agency","Fund Type","FP Category","Fund","Subfund","Subfund Name","2025-26  Estimates","2024-25  Estimates","2023-24  Actuals","2022-23  Actuals","2021-22  Actuals","2020-21  Actuals","2019-20  Actuals","2018-19  Actuals","2017-18  Actuals","2016-17  Actuals","2015-16  Actuals","2014-15  Actuals","2013-14  Actuals","2012-13  Actuals","2011-12  Actuals","2010-11  Actuals","2009-10  Actuals","2008-09  Actuals","2007-08  Actuals","2006-07  Actuals","2005-06  Actuals","2004-05  Actuals","2003-04  Actuals","2002-03  Actuals","2001-02  Actuals","2000-01  Actuals","1999-00  Actuals","1998-99  Actuals","1997-98  Actuals","1996-97  Actuals","1995-96  Actuals","1994-95  Actuals"
"Economic Development and Government Oversight","Agriculture and Markets, Department of","Capital Projects Funds - Other","Capital Projects","Capital Projects Fund","30000","Capital Project","8319000.0","11319000.0","8013000.0","7860000.0","2117000.0","4203000.0","6315000.0","3137000.0","3905000.0","3263000.0","4771000.0","10264000.0","3646000.0","1020000.0","1002000.0","1750000.0","1750000.0","1769000.0","1218000.0","1650000.0","948000.0","1029000.0","573000.0","1545000.0","1747000.0","2013000.0","2704000.0","2494000.0","4056000.0","1437000.0","3108000.0","2912000.0"
"Economic Development and Government Oversight","Agriculture and Markets, Department of","Capital Projects Funds - Other","Assistance and Grants","Capital Projects Fund","300CC","CPF - Auth Bond","0.0","0.0","3265000.0","246000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Economic Development and Government Oversight","Agriculture and Markets, Department of","Capital Projects Funds - Other","Capital Projects","Capital Projects Fund","300CC","CPF - Auth Bond","67490000.0","49490000.0","6907000.0","1679000.0","5559000.0","6094000.0","5111000.0","48616000.0","4359000.0","74000.0","5000.0","737000.0","2035000.0","15738000.0","16954000.0","3455000.0","1835000.0","670000.0","483000.0","4000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Economic Development and Government Oversight","Agriculture and Markets, Department of","Capital Projects Funds - Other","Assistance and Grants","Clean Water/Clean Air Implementation","305BM","CPF-1996CWA(Bon","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","211000.0","53000.0","0.0","0.0","0.0","0.0"
"Economic Development and Government Oversight","Agriculture and Markets, Department of","Capital Projects Funds - Other","Capital Projects","Clean Water/Clean Air Implementation","305BM","CPF-1996CWA(Bon","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","111000.0","182000.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Economic Development and Government Oversight","Agriculture and Markets, Department of","Capital Projects Funds - Other","Capital Projects","Miscellaeous Capital Projects Fund","32200","Misc. Capital P","500000.0","500000.0","0.0","579000.0","0.0","0.0","0.0","0.0","0.0","1000000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","344000.0","-1000.0","203000.0","2590000.0","21000.0","753000.0","385000.0","0.0","0.0","0.0","0.0"
"Economic Development and Government Oversight","Agriculture and Markets, Department of","General Fund","Assistance and Grants","Community Projects Fund","10251","Comm Proj AA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5000.0","25000.0","0.0","40000.0","102000.0","225000.0","431000.0","1558000.0","1043000.0","596000.0","721000.0","662000.0","467000.0","843000.0","1202000.0","1550000.0","524000.0","0.0","0.0","0.0","0.0","0.0"
"Economic Development and Government Oversight","Agriculture and Markets, Department of","General Fund","Non-Personal Service","Community Projects Fund","10251","Comm Proj AA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Economic Development and Government Oversight","Agriculture and Markets, Department of","General Fund","Personal Service","Community Projects Fund","10251","Comm Proj AA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","95000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Economic Development and Government Oversight","Agriculture and Markets, Department of","General Fund","Assistance and Grants","Community Projects Fund","10252","Comm Proj BB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12000.0","100000.0","35000.0","148000.0","8000.0","5000.0","19000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Economic Development and Government Oversight","Agriculture and Markets, Department of","General Fund","Assistance and Grants","Community Projects Fund","10253","Comm Proj CC","0.0","0.0","10000.0","0.0","0.0","0.0","10000.0","40000.0","40000.0","128000.0","53000.0","17000.0","253000.0","0.0","0.0","186000.0","659000.0","145000.0","103000.0","130000.0","235000.0","351000.0","137000.0","167000.0","2000.0","24000.0","158000.0","0.0","0.0","0.0","0.0","0.0"
"Economic Development and Government Oversight","Agriculture and Markets, Department of","General Fund","Non-Personal Service","Community Projects Fund","10253","Comm Proj CC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","25000.0","0.0","0.0","0.0","0.0","0.0"
"Economic Development and Government Oversight","Agriculture and Markets, Department of","General Fund","Personal Service","Community Projects Fund","10253","Comm Proj CC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","142000.0","0.0","0.0","0.0","0.0","0.0"
"Economic Development and Government Oversight","Agriculture and Markets, Department of","General Fund","Assistance and Grants","Community Projects Fund","10255","Comm Proj EE","0.0","0.0","15000.0","0.0","0.0","0.0","0.0","0.0","3000.0","8000.0","3000.0","0.0","0.0","6000.0","11000.0","7000.0","90000.0","83000.0","35000.0","0.0","18000.0","7000.0","6000.0","8000.0","19000.0","77000.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Economic Development and Government Oversight","Agriculture and Markets, Department of","General Fund","Assistance and Grants","Community Projects Fund","10256","Comm Proj GG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1000.0","9000.0","0.0","0.0","32000.0","99000.0","122000.0","299000.0","298000.0","320000.0","1000.0","22000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
