Agency,1996-97  Actuals,Fund Type,1998-99  Actuals,2006-07  Actuals,2010-11  Actuals,Function,2013-14  Actuals,FP Category,2003-04  Actuals,2009-10  Actuals,2007-08  Actuals,Fund,2000-01  Actuals,2015-16  Estimates,2005-06  Actuals,Subfund Name,2008-09  Actuals,2002-03  Actuals,1999-00  Actuals,2001-02  Actuals,Subfund,1994-95  Actuals,2012-13  Actuals,1995-96  Actuals,2011-12  Actuals,2014-15  Estimates,1997-98  Actuals,2004-05  Actuals,Fund Description,FP Category Description,Fund Type Description
"Agriculture and Markets, Department of",1437000.0,Capital Projects Funds - Other,2494000.0,1650000.0,1750000.0,Economic Development and Government Oversight,3646000.0,Capital Projects,573000.0,1750000.0,1218000.0,Capital Projects Fund,2013000.0,3483000.0,948000.0,Capital Project,1769000.0,1545000.0,2704000.0,1747000.0,30000,2912000.0,1020000.0,3108000.0,1002000.0,9149000.0,4056000.0,1029000.0,To account for the financing of the construction of capital facilities or the acquisition of capital facilities.,"Include payments made for the acquisition or construction of the State’s capital facilities.  Included in this category are planning, land acquisition, design, construction, engineering services, and equipment costs attributable to highway, parkway and rail preservation projects; outdoor recreation and environmental conservation projects; payments to local government units and public authorities to help finance highways, parkways, bridges, mass transportation, aviation, economic development, port development, community colleges, community and State mental hygiene buildings, outdoor recreational parks, correctional facilities and State-assisted housing as well as environmental quality projects.  Advances are made for capital construction costs reimbursable by public authorities, the Federal or local governments, or from the proceeds of State bond and note sales.",These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
"Agriculture and Markets, Department of",0.0,Capital Projects Funds - Other,0.0,4000.0,3455000.0,Economic Development and Government Oversight,2035000.0,Capital Projects,0.0,1835000.0,483000.0,Capital Projects Fund,0.0,405000.0,0.0,CPF - Auth Bond,670000.0,0.0,0.0,0.0,300CC,0.0,15738000.0,0.0,16954000.0,500000.0,0.0,0.0,To account for the financing of the construction of capital facilities or the acquisition of capital facilities.,"Include payments made for the acquisition or construction of the State’s capital facilities.  Included in this category are planning, land acquisition, design, construction, engineering services, and equipment costs attributable to highway, parkway and rail preservation projects; outdoor recreation and environmental conservation projects; payments to local government units and public authorities to help finance highways, parkways, bridges, mass transportation, aviation, economic development, port development, community colleges, community and State mental hygiene buildings, outdoor recreational parks, correctional facilities and State-assisted housing as well as environmental quality projects.  Advances are made for capital construction costs reimbursable by public authorities, the Federal or local governments, or from the proceeds of State bond and note sales.",These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
Economic Development Capital,0.0,Capital Projects Funds - Other,0.0,2500000.0,0.0,Economic Development and Government Oversight,45000.0,Capital Projects,0.0,9400000.0,41578000.0,Capital Projects Fund,0.0,14000000.0,0.0,CPF - Auth Bond,21176000.0,0.0,0.0,0.0,300CC,0.0,0.0,0.0,0.0,14000000.0,0.0,0.0,To account for the financing of the construction of capital facilities or the acquisition of capital facilities.,"Include payments made for the acquisition or construction of the State’s capital facilities.  Included in this category are planning, land acquisition, design, construction, engineering services, and equipment costs attributable to highway, parkway and rail preservation projects; outdoor recreation and environmental conservation projects; payments to local government units and public authorities to help finance highways, parkways, bridges, mass transportation, aviation, economic development, port development, community colleges, community and State mental hygiene buildings, outdoor recreational parks, correctional facilities and State-assisted housing as well as environmental quality projects.  Advances are made for capital construction costs reimbursable by public authorities, the Federal or local governments, or from the proceeds of State bond and note sales.",These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
"Economic Development Program, New York State",0.0,Capital Projects Funds - Other,0.0,2500000.0,0.0,Economic Development and Government Oversight,88000.0,Capital Projects,0.0,34000.0,6200000.0,Capital Projects Fund,0.0,11667000.0,162900000.0,CPF - Auth Bond,554000.0,0.0,0.0,0.0,300CC,0.0,0.0,0.0,0.0,14859000.0,0.0,0.0,To account for the financing of the construction of capital facilities or the acquisition of capital facilities.,"Include payments made for the acquisition or construction of the State’s capital facilities.  Included in this category are planning, land acquisition, design, construction, engineering services, and equipment costs attributable to highway, parkway and rail preservation projects; outdoor recreation and environmental conservation projects; payments to local government units and public authorities to help finance highways, parkways, bridges, mass transportation, aviation, economic development, port development, community colleges, community and State mental hygiene buildings, outdoor recreational parks, correctional facilities and State-assisted housing as well as environmental quality projects.  Advances are made for capital construction costs reimbursable by public authorities, the Federal or local governments, or from the proceeds of State bond and note sales.",These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
Economic Development and Natural Resource Preservation,0.0,Capital Projects Funds - Other,0.0,0.0,0.0,Economic Development and Government Oversight,0.0,Capital Projects,1275000.0,0.0,0.0,Capital Projects Fund,0.0,0.0,0.0,CPF - Auth Bond,0.0,20849000.0,0.0,0.0,300CC,0.0,0.0,0.0,0.0,0.0,0.0,750000.0,To account for the financing of the construction of capital facilities or the acquisition of capital facilities.,"Include payments made for the acquisition or construction of the State’s capital facilities.  Included in this category are planning, land acquisition, design, construction, engineering services, and equipment costs attributable to highway, parkway and rail preservation projects; outdoor recreation and environmental conservation projects; payments to local government units and public authorities to help finance highways, parkways, bridges, mass transportation, aviation, economic development, port development, community colleges, community and State mental hygiene buildings, outdoor recreational parks, correctional facilities and State-assisted housing as well as environmental quality projects.  Advances are made for capital construction costs reimbursable by public authorities, the Federal or local governments, or from the proceeds of State bond and note sales.",These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
"Economic Development, Department of",0.0,Capital Projects Funds - Other,0.0,0.0,0.0,Economic Development and Government Oversight,0.0,Capital Projects,8000000.0,0.0,0.0,Capital Projects Fund,0.0,0.0,0.0,Capital Project,0.0,0.0,0.0,0.0,30000,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,To account for the financing of the construction of capital facilities or the acquisition of capital facilities.,"Include payments made for the acquisition or construction of the State’s capital facilities.  Included in this category are planning, land acquisition, design, construction, engineering services, and equipment costs attributable to highway, parkway and rail preservation projects; outdoor recreation and environmental conservation projects; payments to local government units and public authorities to help finance highways, parkways, bridges, mass transportation, aviation, economic development, port development, community colleges, community and State mental hygiene buildings, outdoor recreational parks, correctional facilities and State-assisted housing as well as environmental quality projects.  Advances are made for capital construction costs reimbursable by public authorities, the Federal or local governments, or from the proceeds of State bond and note sales.",These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
"Economic Development, Department of",0.0,Capital Projects Funds - Other,0.0,2184000.0,0.0,Economic Development and Government Oversight,0.0,Capital Projects,2512000.0,0.0,0.0,Capital Projects Fund,0.0,0.0,12602000.0,CPF - Auth Bond,0.0,11800000.0,0.0,0.0,300CC,0.0,0.0,0.0,0.0,0.0,0.0,3597000.0,To account for the financing of the construction of capital facilities or the acquisition of capital facilities.,"Include payments made for the acquisition or construction of the State’s capital facilities.  Included in this category are planning, land acquisition, design, construction, engineering services, and equipment costs attributable to highway, parkway and rail preservation projects; outdoor recreation and environmental conservation projects; payments to local government units and public authorities to help finance highways, parkways, bridges, mass transportation, aviation, economic development, port development, community colleges, community and State mental hygiene buildings, outdoor recreational parks, correctional facilities and State-assisted housing as well as environmental quality projects.  Advances are made for capital construction costs reimbursable by public authorities, the Federal or local governments, or from the proceeds of State bond and note sales.",These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
Empire State Development Corporation,2088000.0,Capital Projects Funds - Other,0.0,0.0,0.0,Economic Development and Government Oversight,0.0,Capital Projects,0.0,0.0,0.0,Capital Projects Fund,0.0,112223000.0,0.0,Capital Project,0.0,0.0,0.0,0.0,30000,0.0,0.0,60506000.0,0.0,12195000.0,0.0,0.0,To account for the financing of the construction of capital facilities or the acquisition of capital facilities.,"Include payments made for the acquisition or construction of the State’s capital facilities.  Included in this category are planning, land acquisition, design, construction, engineering services, and equipment costs attributable to highway, parkway and rail preservation projects; outdoor recreation and environmental conservation projects; payments to local government units and public authorities to help finance highways, parkways, bridges, mass transportation, aviation, economic development, port development, community colleges, community and State mental hygiene buildings, outdoor recreational parks, correctional facilities and State-assisted housing as well as environmental quality projects.  Advances are made for capital construction costs reimbursable by public authorities, the Federal or local governments, or from the proceeds of State bond and note sales.",These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
Empire State Development Corporation,0.0,Capital Projects Funds - Other,0.0,43633000.0,4810000.0,Economic Development and Government Oversight,34161000.0,Capital Projects,0.0,350765000.0,70988000.0,Capital Projects Fund,0.0,0.0,0.0,CPF - Auth Bond,321319000.0,0.0,0.0,0.0,300CC,6000000.0,19095000.0,23991000.0,8446000.0,0.0,0.0,0.0,To account for the financing of the construction of capital facilities or the acquisition of capital facilities.,"Include payments made for the acquisition or construction of the State’s capital facilities.  Included in this category are planning, land acquisition, design, construction, engineering services, and equipment costs attributable to highway, parkway and rail preservation projects; outdoor recreation and environmental conservation projects; payments to local government units and public authorities to help finance highways, parkways, bridges, mass transportation, aviation, economic development, port development, community colleges, community and State mental hygiene buildings, outdoor recreational parks, correctional facilities and State-assisted housing as well as environmental quality projects.  Advances are made for capital construction costs reimbursable by public authorities, the Federal or local governments, or from the proceeds of State bond and note sales.",These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
Empire State Development Corporation,0.0,Capital Projects Funds - Other,0.0,20000000.0,0.0,Economic Development and Government Oversight,0.0,Capital Projects,0.0,76334000.0,20000000.0,Capital Projects Fund,0.0,0.0,0.0,CPF-Stadium,29497000.0,0.0,0.0,0.0,300CJ,0.0,0.0,0.0,0.0,0.0,0.0,11751000.0,To account for the financing of the construction of capital facilities or the acquisition of capital facilities.,"Include payments made for the acquisition or construction of the State’s capital facilities.  Included in this category are planning, land acquisition, design, construction, engineering services, and equipment costs attributable to highway, parkway and rail preservation projects; outdoor recreation and environmental conservation projects; payments to local government units and public authorities to help finance highways, parkways, bridges, mass transportation, aviation, economic development, port development, community colleges, community and State mental hygiene buildings, outdoor recreational parks, correctional facilities and State-assisted housing as well as environmental quality projects.  Advances are made for capital construction costs reimbursable by public authorities, the Federal or local governments, or from the proceeds of State bond and note sales.",These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
