Function,Agency,Fund Type,FP Category,Fund,Subfund,Subfund Name,2025-26  Estimates,2024-25  Estimates,2023-24  Actuals,2022-23  Actuals,2021-22  Actuals,2020-21  Actuals,2019-20  Actuals,2018-19  Actuals,2017-18  Actuals,2016-17  Actuals,2015-16  Actuals,2014-15  Actuals,2013-14  Actuals,2012-13  Actuals,2011-12  Actuals,2010-11  Actuals,2009-10  Actuals,2008-09  Actuals,2007-08  Actuals,2006-07  Actuals,2005-06  Actuals,2004-05  Actuals,2003-04  Actuals,2002-03  Actuals,2001-02  Actuals,2000-01  Actuals,1999-00  Actuals,1998-99  Actuals,1997-98  Actuals,1996-97  Actuals,1995-96  Actuals,1994-95  Actuals
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Capital Projects Funds - Other,Capital Projects,Capital Projects Fund,30000,Capital Project,"8,319","11,319","8,013","7,860","2,117","4,203","6,315","3,137","3,905","3,263","4,771","10,264","3,646","1,020","1,002","1,750","1,750","1,769","1,218","1,650",948,"1,029",573,"1,545","1,747","2,013","2,704","2,494","4,056","1,437","3,108","2,912"
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Capital Projects Funds - Other,Assistance and Grants,Capital Projects Fund,300CC,CPF - Auth Bond,0 ,0 ,"3,265",246,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Capital Projects Funds - Other,Capital Projects,Capital Projects Fund,300CC,CPF - Auth Bond,"67,490","49,490","6,907","1,679","5,559","6,094","5,111","48,616","4,359",74,5,737,"2,035","15,738","16,954","3,455","1,835",670,483,4,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Capital Projects Funds - Other,Assistance and Grants,Clean Water/Clean Air Implementation,305BM,CPF-1996CWA(Bon,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,211,53,0 ,0 ,0 ,0 
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Capital Projects Funds - Other,Capital Projects,Clean Water/Clean Air Implementation,305BM,CPF-1996CWA(Bon,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,111,182,0 ,0 ,0 ,0 ,0 ,0 
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Capital Projects Funds - Other,Capital Projects,Miscellaeous Capital Projects Fund,32200,Misc. Capital P,500,500,0 ,579,0 ,0 ,0 ,0 ,0 ,"1,000",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,344,-1,203,"2,590",21,753,385,0 ,0 ,0 ,0 
Economic Development and Government Oversight,"Agriculture and Markets, Department of",General Fund,Assistance and Grants,Community Projects Fund,10251,Comm Proj AA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5,25,0 ,40,102,225,431,"1,558","1,043",596,721,662,467,843,"1,202","1,550",524,0 ,0 ,0 ,0 ,0 
Economic Development and Government Oversight,"Agriculture and Markets, Department of",General Fund,Non-Personal Service,Community Projects Fund,10251,Comm Proj AA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Economic Development and Government Oversight,"Agriculture and Markets, Department of",General Fund,Personal Service,Community Projects Fund,10251,Comm Proj AA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,95,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Economic Development and Government Oversight,"Agriculture and Markets, Department of",General Fund,Assistance and Grants,Community Projects Fund,10252,Comm Proj BB,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12,100,35,148,8,5,19,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
