CAS #,Fund,Description,Reference Source
N/A,Fund,"A fund is defined as a fiscal and accounting entity with a self-balancing set of accounts recording cash and other financial resources together with all related liabilities and residual equities or balances and changes therein, which are segregated for the purpose of carrying on specific activities or attaining certain objectives in accordance with special regulations, restrictions or limitations.",OSC Fund Classification
1,Local Assistance Account,To account for General Fund expenditures for local assistance.,OSC Fund Classification
2,Capital Projects Fund,To account for the financing of the construction of capital facilities or the acquisition of capital facilities.,OSC Fund Classification
3,State Operations Account,To account for General Fund expenditures for state purposes.,OSC Fund Classification
6,Universal Pre-Kindergarten Reserve,"To account for funds that are set aside, at the request of a school district, pending the approval of the school district's application to begin pre-kindergarten program by the NYS Department of Education.",OSC Fund Classification
7,Community Projects Fund,"To account for various grants, awards and contracts with local governments, not for profit organizations and community groups sponsored by individual Legislators and the Governor. These are often referred to as member items.",OSC Fund Classification
13,Attica State Employee Victims,To account for funds set aside for state employee victims and survivors of the 1971 Attica correctional facility riot.,OSC Fund Classification
19,Mental Hygiene Gifts and Donations Fund,To account for various gifts and donations to Mental Hygiene facilities for purposes designated by the donor.,OSC Fund Classification
20,Combined Expendable Trust,"To account for various gifts, grants and bequests received by various State departments and agencies pursuant to Section 11 of the State Finance Law.",OSC Fund Classification
25,Child Performers Protection Fund,"To account for the costs of administering the registration program necessary for ensuring the employment and education requirements for child performers who work or reside in New York State, pursuant to Article 4-A of the Labor Law.",OSC Fund Classification
50,Tuition Reimbursement Fund,To account for revenues that are earmarked for making tuition refunds to students when a proprietary vocational school fails to do so and for administrative expenses.,OSC Fund Classification
52,New York State Local Government Records Management Improvement,To account for certain specified fees that are earmarked for improving local government records management.,OSC Fund Classification
53,School Tax Relief Fund,To reimburse school districts for the School Tax Relief (STAR) property tax exemptions for homeowners pursuant to the Real Property Tax law.,OSC Fund Classification
54,Charter School Stimulus Fund,"To provide financial support, including grants and loans to Charter School applicants and to Charter Schools for start-up costs and for costs associated with the acquisition, renovation, or construction of school facilities.",OSC Fund Classification
55,Not-For-Profit Short-Term Revolving Loan,"To account for loans to not-for-profit organizations pursuant to State Finance Law, Section 179-z.",OSC Fund Classification
61,HCRA Resources,To account for health care initiatives financed with HCRA resources.,OSC Fund Classification
72,Dedicated Highway and Bridge Trust Fund,To account for dedicated revenues used to finance transportation related capital projects and payments for debt service on NYS Thruway Authority bonds.,OSC Fund Classification
73,Dedicated Mass Transportation Trust Fund,To account for moneys that are earmarked for mass transportation purposes.,OSC Fund Classification
74,SUNY Residence Halls Rehabilitation and Repair Fund,To account for State University capital projects financed by Dormitory and room rentals and other college fees.,OSC Fund Classification
75,New York State Canal System Development Fund,To account for moneys that are earmarked for the operations of the NYS canal system.,OSC Fund Classification
76,State Parks Infrastructure Fund,"To account for the rehabilitation, preservation and improvement of State park facilities and historic sites.",OSC Fund Classification
77,Passenger Facility Charge Fund,To comply with Federal Aviation Administration regulations which require that passenger facility charges be deposited in a separate (interest bearing) fund.,OSC Fund Classification
78,Environmental Protection Fund,"To account for dedicated revenues which will be used to assist local government, not-for-profit corporations, and fund State initiatives to protect the environment and protect open space.",OSC Fund Classification
79,Clean Water/Clean Air Implementation,"To account for the appropriated administrative expenses of state departments, agencies, public authorities and public benefit corporations for the administration of state assistance payments under the Clean Water/Clean Air Bond Act of 1996.",OSC Fund Classification
80,Hudson River Park Fund,For construction of the Hudson River Park between Battery Park City and 59th Street in Manhattan.,OSC Fund Classification
160,State Lottery Fund,To account for New York State Lottery operations.,OSC Fund Classification
