Fund,Fund ID,Fund Description,Department,Short Title,Department ID,Control Officer,Link to Website,Department Description,Expense Line,Appropriations 1995,Appropriations 1996,Appropriations 1997,Appropriations 1998,Appropriations 1999,Appropriations 2000,Appropriations 2001,Appropriations 2002,Appropriations 2003,Appropriations 2004,Appropriations 2005,Appropriations 2006,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Appropriations 2013,Appropriations 2014,Expenditures 1995,Expenditures 1996,Expenditures 1997,Expenditures 1998,Expenditures 1999,Expenditures 2000,Expenditures 2001,Expenditures 2002,Expenditures 2003,Expenditures 2004,Expenditures 2005,Expenditures 2006,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,Expenditures 2013
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",County Clerk,County Clerk,1,County Clerk,http://macoupincountyil.gov/county_clerk.htm,"The Macoupin Clerk's Office acts as Clerk of the County Board and as Election authority for Macoupin County; the office also handles birth and death records and marriage licenses, and maintains business and notary records in the Public Filings unit; the Tax Services department calculates tax rates and maintains records on delinquent parcels; the Clerk also handles the payroll of the County employees and accounts receivable and payable. The Clerk also serves as the Recorder of Deeds and the office in that role records all documents and records related to land/structure transactions on properties located in Macoupin County.",Salaries & Benefits,175685,185212,197064,204975,240806,265114,291110,296970,311852,323750,308723,313882,308900,285687,273559,257900,287608,310013,330276.1,276089,175368,183826,197064,200995,235594,260646,290518,296970,311825,321326,308721,309560,297685,283806,273532,250863,287608,308432,329599.72
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",County Clerk,County Clerk,1,County Clerk,http://macoupincountyil.gov/county_clerk.htm,"The Macoupin Clerk's Office acts as Clerk of the County Board and as Election authority for Macoupin County; the office also handles birth and death records and marriage licenses, and maintains business and notary records in the Public Filings unit; the Tax Services department calculates tax rates and maintains records on delinquent parcels; the Clerk also handles the payroll of the County employees and accounts receivable and payable. The Clerk also serves as the Recorder of Deeds and the office in that role records all documents and records related to land/structure transactions on properties located in Macoupin County.",Office Supplies,10954,4982,6186,7583,8000,8000,8000,7445,3225,4450,5770,6018,4900,5168,4697,3589,2272,1032,2580.32,3000,10954,4982,4318,7583,5430,6194,2932,7445,3217,4449,5770,6018,4830,5168,4697,3444,2272,1032,2500.36
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",County Clerk,County Clerk,1,County Clerk,http://macoupincountyil.gov/county_clerk.htm,"The Macoupin Clerk's Office acts as Clerk of the County Board and as Election authority for Macoupin County; the office also handles birth and death records and marriage licenses, and maintains business and notary records in the Public Filings unit; the Tax Services department calculates tax rates and maintains records on delinquent parcels; the Clerk also handles the payroll of the County employees and accounts receivable and payable. The Clerk also serves as the Recorder of Deeds and the office in that role records all documents and records related to land/structure transactions on properties located in Macoupin County.",Postage,11965,9000,11010,8850,10067,18124,11883,8340,4520,3800,3691,5000,6700,10000,170,1700,1176,1985,268,1000,11965,8236,11010,8850,10067,18124,11883,6396,4520,3782,3668,4814,6632,10000,170,1676,1176,1676,268
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",County Clerk,County Clerk,1,County Clerk,http://macoupincountyil.gov/county_clerk.htm,"The Macoupin Clerk's Office acts as Clerk of the County Board and as Election authority for Macoupin County; the office also handles birth and death records and marriage licenses, and maintains business and notary records in the Public Filings unit; the Tax Services department calculates tax rates and maintains records on delinquent parcels; the Clerk also handles the payroll of the County employees and accounts receivable and payable. The Clerk also serves as the Recorder of Deeds and the office in that role records all documents and records related to land/structure transactions on properties located in Macoupin County.",Travel,578,699,2000,1125,1500,1500,1500,1500,1213,1550,1500,1400,1500,1802,517,500,265,289,40,200,578,606,819,1125,702,1128,313,0,1213,1349,1484,1333,1494,1802,517,305,265,289,40
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",County Clerk,County Clerk,1,County Clerk,http://macoupincountyil.gov/county_clerk.htm,"The Macoupin Clerk's Office acts as Clerk of the County Board and as Election authority for Macoupin County; the office also handles birth and death records and marriage licenses, and maintains business and notary records in the Public Filings unit; the Tax Services department calculates tax rates and maintains records on delinquent parcels; the Clerk also handles the payroll of the County employees and accounts receivable and payable. The Clerk also serves as the Recorder of Deeds and the office in that role records all documents and records related to land/structure transactions on properties located in Macoupin County.",Telephone,2989,4008,4837,4500,5318,6224,6300,7072,4661,5600,7286,5950,5500,5448,4857,4650,6289,4719,3324.32,5211,2989,4008,4837,4349,5318,5852,5533,6165,4661,5552,7286,5822,5337,4723,4857,4616,6289,4616,3324.32
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",County Clerk,County Clerk,1,County Clerk,http://macoupincountyil.gov/county_clerk.htm,"The Macoupin Clerk's Office acts as Clerk of the County Board and as Election authority for Macoupin County; the office also handles birth and death records and marriage licenses, and maintains business and notary records in the Public Filings unit; the Tax Services department calculates tax rates and maintains records on delinquent parcels; the Clerk also handles the payroll of the County employees and accounts receivable and payable. The Clerk also serves as the Recorder of Deeds and the office in that role records all documents and records related to land/structure transactions on properties located in Macoupin County.",Insurance,413,86,54,500,500,500,500,500,362,200,226,200,800,218,30,100,22,0,20,0,413,86,54,0,369,50,21,40,362,16,226,114,795,0,30,0,22,0,20
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",County Clerk,County Clerk,1,County Clerk,http://macoupincountyil.gov/county_clerk.htm,"The Macoupin Clerk's Office acts as Clerk of the County Board and as Election authority for Macoupin County; the office also handles birth and death records and marriage licenses, and maintains business and notary records in the Public Filings unit; the Tax Services department calculates tax rates and maintains records on delinquent parcels; the Clerk also handles the payroll of the County employees and accounts receivable and payable. The Clerk also serves as the Recorder of Deeds and the office in that role records all documents and records related to land/structure transactions on properties located in Macoupin County.",Miscellaneous,2921,6169,4722,5170,1421,1360,5000,5000,2194,5640,2504,2450,6020,15766,4159,650,2218,0,63.3,0,2889,6140,2031,5170,1421,558,1048,657,2194,5578,2440,2407,5994,15270,4159,962,3453,0,63.3
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",County Clerk,County Clerk,1,County Clerk,http://macoupincountyil.gov/county_clerk.htm,"The Macoupin Clerk's Office acts as Clerk of the County Board and as Election authority for Macoupin County; the office also handles birth and death records and marriage licenses, and maintains business and notary records in the Public Filings unit; the Tax Services department calculates tax rates and maintains records on delinquent parcels; the Clerk also handles the payroll of the County employees and accounts receivable and payable. The Clerk also serves as the Recorder of Deeds and the office in that role records all documents and records related to land/structure transactions on properties located in Macoupin County.",Equipment ,18,1490,1000,3091,1539,5000,5000,10000,0,5010,20297,15100,3280,6760,3157,3500,1176,1553,5885.1,7500,18,1490,981,0,234,0,0,1212,0,4955,20298,14723,2396,6419,3157,3463,1176,1553,5885.1
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",County Clerk,County Clerk,1,County Clerk,http://macoupincountyil.gov/county_clerk.htm,"The Macoupin Clerk's Office acts as Clerk of the County Board and as Election authority for Macoupin County; the office also handles birth and death records and marriage licenses, and maintains business and notary records in the Public Filings unit; the Tax Services department calculates tax rates and maintains records on delinquent parcels; the Clerk also handles the payroll of the County employees and accounts receivable and payable. The Clerk also serves as the Recorder of Deeds and the office in that role records all documents and records related to land/structure transactions on properties located in Macoupin County.",System Updates and Programming,10796,9902,5807,10180,14655,2516,7117,0,0,0,0,0,0,0,0,4000,3988,5648,6098.86,4000,10796,9902,4960,10180,14655,222,162,0,0,0,0,0,0,0,0,3634,3988,5648,6098.86
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",County Treasurer,County Treasurer,2,County Treasurer,http://macoupincountyil.gov/treasurer.htm,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",Salaries & Benefits,107715,121215,129015,130664,144364,151219,155080,155735,157704,169910,174175,182525,161942,155873,142426,144284,162294,169105,162964.35,140000,107501,118039,124596,127114,139176,144949,152297,147973,157694,169544,172436,180520,161942,155873,142426,144284,162294,169105,162834.98
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",County Treasurer,County Treasurer,2,County Treasurer,http://macoupincountyil.gov/treasurer.htm,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",Office Supplies,2600,2000,2000,1500,2000,2000,2000,1600,1600,1600,1600,2100,2100,1163,1083,296,1432,349,1467.48,1000,2402,1789,1414,1089,1832,1871,1707,1430,1432,1427,1232,1894,2095,1163,1056,296,1432,349,1467.48
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",County Treasurer,County Treasurer,2,County Treasurer,http://macoupincountyil.gov/treasurer.htm,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",Postage,13862,14200,8500,10000,8500,8500,9200,10000,11500,14350,14450,13250,14850,17401,11776,4317,3320,320,3490,2000,13797,14184,8376,9864,8321,8090,8983,9953,11480,14327,14420,13232,14850,17401,11776,4317,3320,320,3490
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",County Treasurer,County Treasurer,2,County Treasurer,http://macoupincountyil.gov/treasurer.htm,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",Travel,1648,1135,1135,1135,1135,1385,1385,1085,1050,750,750,1050,699,899,802,374,0,0,0,0,1445,668,1075,809,1129,771,1166,826,776,659,658,878,699,899,802,374,0,0,0
