Fund,ID,Department,Department_Description,URL
General Fund,1,County Clerk,"The Macoupin Clerk's Office acts as Clerk of the County Board and as Election authority for Macoupin County; the office also handles birth and death records and marriage licenses, and maintains business and notary records in the Public Filings unit; the Tax Services department calculates tax rates and maintains records on delinquent parcels; the Clerk also handles the payroll of the County employees and accounts receivable and payable. The Clerk also serves as the Recorder of Deeds and the office in that role records all documents and records related to land/structure transactions on properties located in Macoupin County. ",http://macoupincountyil.gov/county_clerk.htm
General Fund,2,County Treasurer,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",http://macoupincountyil.gov/treasurer.htm
General Fund,3,Coroner's Expenses,"The line item funds the operation of the Coroner’s office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",http://macoupincountyil.gov/coroner.htm
General Fund,4,Burial of Soldiers,"This line item helped cover the costs associated to the County regarding the burial of soldiers. Beginning in 2008, those expenses where covered in the County Adminstration line item.",
General Fund,5,County Board,"The line item funds the operation of the county board, which includes costs of per diem for full board meetings, committee meetings, and cost of mileage.",http://macoupincountyil.gov/board.htm
General Fund,6,Courthouse,"The line item, under the control of the Sheriff, funds the general daily maintenance of the County Courthouse, primarily covering day to day upkeep of the building and related utility bills for the building.",
General Fund,7,Elections,"The line item, controlled by the County Clerk, funds all costs related to elections administered by the County Clerk.",http://www.macoupinvotes.com/
General Fund,8,Supervisor of Assessments,"The line item funds the operation of the Supervisor of Assessments office. The Supervisor's office meets with township assessors to supply  technical advice and information regarding current legislation and establishes guidelines for the assessors. In addition, the Supervisor of Assessments reviews assessments made by township assessors, equalizes assessments within the county and is responsible for publishing assessment change notices. Each year the Supervisor of Assessments delivers the assessment books to the Board of Review and prepares a tentative abstract of the assessment books for the Department of Revenue. The Supervisor of Assessments office also keeps track of all property transactions in the county, maps of all properties, exemptions and a history of all land owners.",http://macoupincountyil.gov/assessment.htm
General Fund,9,Audit,The yearly expense for the county's audit of it's financial books where paid from this fund until 2009 when the expenses where then paid out of County Adminstration line item.,
General Fund,10,Cemetery,The expenses to the County to pay for the care of the county owned pauper cemetary. These expenses where moved to the County Adminstration line item in 2009.,
General Fund,11,Capital Improvements,"The line item, under the control of the Sheriff, funds routine general maintenance projects in the County Jail Building, County Courthouse, and other county facilities.",
General Fund,12,Copy Room,The line item funds expenses of the copy machines which are utilized by county officials in the County Courthouse.,
General Fund,13,Tax Assessment & Collections,"The line item funds expenses associated with the calculation, collections, preparation, mailing of county property tax bills and is primarily utilized by the County Treasurer, County Clerk, and Supervisor of Assessments.",
General Fund,14,County Administration,"The line item funds the operation of the county board office, payment of board of review salaries, the county’s portion of annual audit costs, the county’s annual costs of participating in the State’s Attorney’s Appellate Prosecutor program, county website development costs, West Central Development Council annual dues, and other small miscellaneous costs.",http://macoupincountyil.gov/board.htm
General Fund,15,Transportaion (and Freight),These expenses helped cover public works projects that are now paid for by the Highway Department's Special Funds.,
General Fund,16,Contingency,This line item was used by the Board as a budget dollars that could be used in the case of an emergency. Beginning in 2007 it was no longer budgeted by the Board.,
